- OC_CALC_DISK_SPACE] - complete
[multim - OC_CALC_DISK_SPACE] - complete
[ieaccess - OC_CALC_DISK_SPACE] - complete
[games - OC_CALC_DISK_SPACE] - complete
[oeaccess - OC_CALC_DISK_SPACE] - complete
[multim - OC_CALC_DISK_SPACE] - complete
[accessutil - OC_CALC_DISK_SPACE] - complete
[wmaccess - OC_CALC_DISK_SPACE] - complete
[commapps - OC_CALC_DISK_SPACE] - complete
[accessutil - OC_CALC_DISK_SPACE] - complete
[commapps - OC_CALC_DISK_SPACE] - complete
[wbem - OC_CALC_DISK_SPACE] - complete
[accessutil - OC_CALC_DISK_SPACE] - complete
[accessopt - OC_CALC_DISK_SPACE] - complete
[games - OC_CALC_DISK_SPACE] - complete
[accessutil - OC_CALC_DISK_SPACE] - complete
[mswordpad - OC_CALC_DISK_SPACE] - complete
[wbem - OC_QUEUE_FILE_OPS] - complete
[wbem - OC_QUEUE_FILE_OPS] - complete
[wbemmsi - OC_QUEUE_FILE_OPS] - complete
[wbemmsi - OC_QUEUE_FILE_OPS] - complete
[wmaccess - OC_QUEUE_FILE_OPS] - complete
[wmaccess - OC_QUEUE_FILE_OPS] - complete
[rootautoupdate - OC_QUEUE_FILE_OPS] - complete
[rootautoupdate - OC_QUEUE_FILE_OPS] - complete
[ieaccess - OC_QUEUE_FILE_OPS] - complete
[ieaccess - OC_QUEUE_FILE_OPS] - complete
[oeaccess - OC_QUEUE_FILE_OPS] - complete
[oeaccess - OC_QUEUE_FILE_OPS] - complete
[wmpocm - OC_QUEUE_FILE_OPS] - complete
[wmpocm - OC_QUEUE_FILE_OPS] - complete
[multim - OC_QUEUE_FILE_OPS] - complete
[multim - OC_QUEUE_FILE_OPS] - complete
[multim - OC_QUEUE_FILE_OPS] - complete
[multim - OC_QUEUE_FILE_OPS] - complete
[games - OC_QUEUE_FILE_OPS] - complete
[games - OC_QUEUE_FILE_OPS] - complete
[games - OC_QUEUE_FILE_OPS] - complete
[games - OC_QUEUE_FILE_OPS] - complete
[games - OC_QUEUE_FILE_OPS] - complete
[games - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[accessutil - OC_QUEUE_FILE_OPS] - complete
[commapps - OC_QUEUE_FILE_OPS] - complete
[commapps - OC_QUEUE_FILE_OPS] - complete
[commapps - OC_QUEUE_FILE_OPS] - complete
[accessopt - OC_QUEUE_FILE_OPS] - complete
[accessopt - OC_QUEUE_FILE_OPS] - complete
[pinball - OC_QUEUE_FILE_OPS] - complete
[pinball - OC_QUEUE_FILE_OPS] - complete
[mswordpad - OC_QUEUE_FILE_OPS] - complete
[mswordpad - OC_QUEUE_FILE_OPS] - complete
[wbem - OC_QUERY_STEP_COUNT] - complete
[wbem - OC_QUERY_STEP_COUNT] - complete
[wbemmsi - OC_QUERY_STEP_COUNT] - complete
[wbemmsi - OC_QUERY_STEP_COUNT] - complete
[wmaccess - OC_QUERY_STEP_COUNT] - complete
[wmaccess - OC_QUERY_STEP_COUNT] - complete
[rootautoupdate - OC_QUERY_STEP_COUNT] - complete
[rootautoupdate - OC_QUERY_STEP_COUNT] - complete
[ieaccess - OC_QUERY_STEP_COUNT] - complete
[ieaccess - OC_QUERY_STEP_COUNT] - complete
[oeaccess - OC_QUERY_STEP_COUNT] - complete
[oeaccess - OC_QUERY_STEP_COUNT] - complete
[wmpocm - OC_QUERY_STEP_COUNT] - complete
[wmpocm - OC_QUERY_STEP_COUNT] - complete
[multim - OC_QUERY_STEP_COUNT] - complete
[multim - OC_QUERY_STEP_COUNT] - complete
[multim - OC_QUERY_STEP_COUNT] - complete
[multim - OC_QUERY_STEP_COUNT] - complete
[games - OC_QUERY_STEP_COUNT] - complete
[games - OC_QUERY_STEP_COUNT] - complete
[games - OC_QUERY_STEP_COUNT] - complete
[games - OC_QUERY_STEP_COUNT] - complete
[games - OC_QUERY_STEP_COUNT] - complete
[games - OC_QUERY_STEP_COUNT] - complete
[accessutil - OC_QUERY_STEP_COUNT] - completeMZ
