ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dmloader.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dmloader.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dmstyle.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dmstyle.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dmsynth.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dmsynth.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dmusic.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dmusic.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dmscript.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dmscript.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dswave.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dswave.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dsdmo.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dsdmo.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\dsdmoprp.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\dsdmoprp.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\certmgr.dll...
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\certmgr.dll registered successfully
03/01/2020 19:07:12,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\regwizc.dll...
03/01/2020 19:07:13,d:\srvrtm\base\ntsetup\syssetup\ctls.c,467,,SETUP: C:\WINDOWS\SysWOW64\regwizc.dll registered successfully
03/01/2020 19:07:13,d:\srvrtm\base\ntsetup\syssetup\ctls.c,444,,SETUP: file to register is C:\WINDOWS\SysWOW64\smlogcfg.dll...
